Target Width [m],Target Height [m],HFOV [deg],VFOV [deg],Target Distance [m],Number of Hits (Single),Number of Elevations,Number of Gimbal Steps (300 Hits),Number of Hits (Gimbal),Azimuth Stepping [deg],Elevation Stepping [deg],Number of Azimuth Stepping [deg]
1.2,1.2,120,30,5,1239,59,1,1239,0.0,0.0,1
1.2,1.2,120,30,10,319,29,1,319,0.0,0.0,1
1.2,1.2,120,30,20,75,15,5,365,0.22099447513812154,0.078125,3
1.2,1.2,120,30,30,27,9,10,323,0.13259668508287295,0.046875,5
1.2,1.2,120,30,40,21,7,16,310,0.13259668508287295,0.046875,5
1.2,1.2,120,30,50,15,5,25,317,0.11049723756906077,0.0390625,6
1.2,1.2,120,30,60,5,5,36,300,0.07366482504604052,0.026041666666666664,9
1.2,1.2,120,30,70,5,5,50,301,0.07366482504604052,0.026041666666666664,9
1.2,1.2,120,30,80,3,3,67,302,0.07366482504604052,0.026041666666666664,9
1.2,1.2,120,30,90,3,3,77,304,0.07366482504604052,0.026041666666666664,9
1.2,1.2,120,30,100,3,3,81,243,0.07366482504604052,0.026041666666666664,9
